훈련기관명,주소/회사번호,훈련과정명,훈련기간
오라클자바교육학원,"서울 구로구 
												
													( 02-6925-4760 )",ORACLE & Advanced JAVA Developer SW웹개발 양성과정,"2025-04-28 ~
													
													2025-06-19 (1회차)"
더조은컴퓨터학원,"서울 구로구 
												
													( 02-838-1689 )","AWS 풀스택 웹앱(자바, 스프링, 리액트) 지역산업기반 개발자 양성","2025-04-28 ~
													
													2025-10-30 (8회차)"
한국소프트웨어인재개발원,"서울 금천구 
												
													( 02-2025-8523 )","빅데이터 서비스 구현을 위한 자바 파이썬 (Java, Python) 개발자 과정","2025-04-28 ~
													
													2025-10-24 (4회차)"
하이미디어IT인재개발학원,"경기 성남시 중원구 
												
													( 031-736-0008 )",자바와 생성형AI를 활용한 차세대 CRM플랫폼 개발,"2025-04-28 ~
													
													2025-10-26 (4회차)"
코드랩아카데미학원,"서울 금천구 
												
													( 02-2038-0800 )",심화_[부트캠프]GIS를 활용한 위치정보기반(LBS) 웹&앱개발,"2025-04-28 ~
													
													2025-06-30 (3회차)"
한국전파진흥협회,"서울 양천구 
												
													( 02-317-6183 )",현대오토에버 웹&앱 개발 스쿨,"2025-04-28 ~
													
													2025-11-12 (2회차)"
하이미디어IT인재개발학원,"경기 성남시 중원구 
												
													( 031-736-0008 )",자바 풀스택&AI를 활용한 개발자양성 취업과정(APS플랫폼 개발),"2025-04-28 ~
													
													2025-10-23 (2회차)"
인천더조은컴퓨터아트학원,"인천 부평구 
												
													( 032-521-8889 )",MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,"2025-04-28 ~
													
													2025-10-31 (12회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",자바(JAVA)&클라우드(AWS) 활용 풀스택 취업캠프[의료영상 API연동 프로젝트],"2025-04-28 ~
													
													2025-11-13 (7회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",빅데이터 기반 AI활용 앱&웹 개발자(풀스택) 취업캠프,"2025-04-28 ~
													
													2025-11-14 (3회차)"
라인컴퓨터아트학원,"경기 안산시 단원구 
												
													( 031-365-5008 )",(K-DIGITAL)기업요구 생성형 AI를 활용한 개발자 양성 과정,"2025-04-28 ~
													
													2025-10-30 (2회차)"
하이미디어컴퓨터학원,"서울 구로구 
												
													( 02-3667-0008 )","클라우드환경 자바(JAVA) 풀스택 AI융합 웹개발자(AWS, SpringBoot, React.js)","2025-04-28 ~
													
													2025-11-10 (3회차)"
(주)우리인재개발원,"경기 부천시 
												
													( 032-665-5522 )",심화_AI기반 지능형 솔루션 개발 과정,"2025-04-28 ~
													
													2025-06-25 (3회차)"
부산대학교산학협력단,"부산 금정구 
												
													( 051-510-3170 )",AI 데이터 분석 풀스택 웹 개발자 양성과정,"2025-04-28 ~
													
													2025-11-04 (2회차)"
멀티캠퍼스,"서울 강남구 
												
													( 02-1544-9001 )",백엔드 개발자 부트캠프(스프링),"2025-04-28 ~
													
													2025-09-19 (4회차)"
하이미디어아카데미인재개발원,"서울 종로구 
												
													( 02-723-0008 )","[프로젝트기반]자바 풀스택 개발자(React.js, Springboot, CI/CD 활용)","2025-04-29 ~
													
													2025-10-24 (4회차)"
에이콘아카데미(강남),"서울 강남구 
												
													( 02-539-8879 )",JAVA를 활용한 클라우드 현업 멘토 스쿨,"2025-04-29 ~
													
													2025-10-23 (4회차)"
이젠아카데미DX교육센터,"서울 서초구 
												
													( 02-532-6500 )",UXUI 디자인 프론트엔드 부트캠프,"2025-04-29 ~
													
													2025-10-24 (5회차)"
한국ICT인재개발원,"서울 서초구 
												
													( 02-739-7235 )",클라우드환경 패스워드리스 보안 AI 웹개발자 양성,"2025-04-29 ~
													
													2025-11-10 (3회차)"
이젠아카데미DX교육센터,"서울 서초구 
												
													( 02-532-6500 )","백엔드 웹개발자 부트캠프(자바,파이썬,AI챗봇)","2025-04-29 ~
													
													2025-10-15 (8회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무에 바로 쓰는 쿠버네티스 클라우드,"2025-04-29 ~
													
													2025-05-26 (13회차)"
(주)글로벌아카데미(구.글로벌직업전문학교),"경기 화성시 
												
													( 031-234-4488 )",심화_LowCode 기반의 AI융합 스마트관리시스템 개발 심화과정,"2025-04-29 ~
													
													2025-06-26 (6회차)"
중앙정보처리학원,"서울 마포구 
												
													( 02-313-1711 )",클라우드 기반 프론트엔드&백엔드 자바(JAVA) 풀스택 개발자 취업캠프,"2025-04-29 ~
													
													2025-10-24 (3회차)"
에이치아카데미 D&D교육센터,"서울 서대문구 
												
													( 02-364-0008 )","융합_웹툰콘텐츠제작을 위한 AI(미드저니, ChatGPT)활용 전문인력(PD,콘티,캐릭터,배경,연출) 양성","2025-04-29 ~
													
													2025-12-02 (4회차)"
(주)엠아이티능력개발원,"경기 수원시 영통구 
												
													( 031-224-3636 )",AWS 클라우드 기반 자바웹 풀스택 개발자 양성,"2025-04-30 ~
													
													2025-11-14 (4회차)"
주식회사멋쟁이사자처럼,"서울 종로구 
												
													( 02-6203-7222 )",파이썬을 활용한 고도화 백엔드 아키텍처 설계 및 개발 과정,"2025-04-30 ~
													
													2025-10-28 (6회차)"
쌍용교육센터,"서울 강남구 
												
													( 02-3482-4633 )",AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,"2025-04-30 ~
													
													2025-11-14 (11회차)"
부산IT교육센터,"부산 부산진구 
												
													( 051-753-5600 )",[K디지털] 실무 프로젝트기반 메타버스 플랫폼 콘텐츠 제작,"2025-04-30 ~
													
													2025-11-14 (8회차)"
하이미디어컴퓨터학원,"강원 강릉시 
												
													( 033-822-2323 )",웹디자인&웹퍼블리셔 취업반,"2025-04-30 ~
													
													2025-08-11 (1회차)"
그린컴퓨터아트학원,"서울 종로구 
												
													( 02-722-2111 )",리엑트(react)를 이용한 SPA 웹퍼블리셔&앱(프론트엔드) SW개발자,"2025-04-30 ~
													
													2025-08-08 (1회차)"
하이미디어아카데미인재개발원,"서울 종로구 
												
													( 02-723-0008 )","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)","2025-04-30 ~
													
													2025-10-23 (5회차)"
엠비씨(MBC)아카데미 컴퓨터교육센터 수원점,"경기 수원시 팔달구 
												
													( 031-253-5225 )","클라우드 기반의 웹&앱 풀스택 개발자 양성(자바,도커,보안,AWS)","2025-04-30 ~
													
													2025-10-24 (2회차)"
부산IT교육센터,"부산 부산진구 
												
													( 051-753-5600 )",[K디지털] AI&빅데이터 분석 활용 풀스택 서비스 개발,"2025-04-30 ~
													
													2025-11-14 (6회차)"
엠비씨(MBC)아카데미 컴퓨터교육센터 본점,"서울 종로구 
												
													( 02-6958-5870 )",챗GPT 생성형 AI를 활용한 반응형 웹콘텐츠(영상제작&코딩) 개발기획자 양성,"2025-04-30 ~
													
													2025-10-27 (5회차)"
오라클자바교육학원,"서울 구로구 
												
													( 02-6925-4760 )",클라우드 기반 빅데이터 융합 자바(JAVA) 풀스택개발자 양성과정,"2025-04-30 ~
													
													2025-10-28 (5회차)"
어소트락평생교육원,"서울 서초구 
												
													( 02-598-9457 )","(언리얼엔진)3D게임 클라이언트 개발자 양성과정[VR, PC 등]","2025-04-30 ~
													
													2025-12-24 (3회차)"
역삼 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1006 )","생성형AI를 활용한 커머스웹(PHP, Laravel, Docker, AWS)개발자 과정","2025-04-30 ~
													
													2025-10-17 (1회차)"
한국직업전문학교,"서울 구로구 
												
													( 02-6959-3647 )",의료 Medical AI 분석 서비스 개발자 과정,"2025-04-30 ~
													
													2025-10-29 (2회차)"
인천직업전문학교,"인천 미추홀구 
												
													( 032-772-1199 )",원패스! 정보처리기능사(필기+실기) 국가자격증 취득 과정,"2025-05-01 ~
													
													2025-06-13 (1회차)"
KH정보교육원 강남지원,"서울 강남구 
												
													( 02-1544-9970 )",왕초보를 위한 C언어 핵심요점 정리에서 데이터 시각화까지,"2025-05-01 ~
													
													2025-05-28 (28회차)"
KH정보교육원 강남지원,"서울 강남구 
												
													( 02-1544-9970 )",데이터 분석 모델링 DBA의 첫걸음 SQL 마스터하기,"2025-05-01 ~
													
													2025-05-28 (9회차)"
(주)알파코,"서울 성동구 
												
													( 02-2163-5724 )",Algorithm Problem Solving : Part 2,"2025-05-01 ~
													
													2025-05-31 (8회차)"
(주)알파코,"서울 성동구 
												
													( 02-2163-5724 )",Algorithm Problem Solving : Part 1,"2025-05-01 ~
													
													2025-05-31 (8회차)"
하이미디어컴퓨터학원,"서울 노원구 
												
													( 02-6337-0008 )",기초부터 UI/UX웹디자인/웹퍼블리셔 취업반,"2025-05-01 ~
													
													2025-08-11 (3회차)"
하이미디어컴퓨터학원,"서울 노원구 
												
													( 02-6337-0008 )",Vue 프레임워크를 활용한 웹프론트엔드 개발 입문 과정,"2025-05-01 ~
													
													2025-07-28 (2회차)"
(재)대덕인재개발원,"대전 중구 
												
													( 042-222-8202 )",전자정부 프레임워크 & React(AWS) 기반 풀_스택 개발자 양성과정,"2025-05-01 ~
													
													2025-12-08 (9회차)"
그린컴퓨터아카데미 부산,"부산 부산진구 
												
													( 051-912-1000 )",(생성형AI활용)Springboot 기반 웹개발과 Flutter 기반 앱개발 실무양성 심화과정,"2025-05-02 ~
													
													2025-07-08 (11회차)"
한국IT교육원,"대구 동구 
												
													( 053-952-0008 )",융합_메티컬 AI with 스마트웰니스,"2025-05-02 ~
													
													2025-11-25 (2회차)"
대우능력개발원,"서울 노원구 
												
													( 02-978-0012 )",프로젝트 기반의 프론트앤드 개발자 양성(with 생성형 AI),"2025-05-07 ~
													
													2026-02-12 (2회차)"
주식회사구름,"경기 성남시 분당구 
												
													( 031-600-8586 )",Spring 기반 백엔드 개발자 성장 과정,"2025-05-07 ~
													
													2025-11-24 (4회차)"
(주)엠아이티능력개발원,"경기 수원시 영통구 
												
													( 031-224-3636 )",인공지능 데이터 사이언스와 스마트 분석 시스템,"2025-05-07 ~
													
													2025-11-17 (1회차)"
주식회사구름,"경기 성남시 분당구 
												
													( 031-600-8586 )",React 기반 프론트엔드 개발자 취업 특화 과정,"2025-05-07 ~
													
													2025-11-24 (4회차)"
춘천직업전문학교,"강원 춘천시 
												
													( 033-264-9979 )",[백엔드] PBL기반 Java+Spring boot 양성과정,"2025-05-07 ~
													
													2025-06-11 (1회차)"
그린컴퓨터아카데미 부산,"부산 부산진구 
												
													( 051-912-1000 )","(롯데)기업맞춤형 프로젝트 기반 백엔드 자바, 스프링 웹 SW개발자 양성과정","2025-05-07 ~
													
													2025-11-06 (9회차)"
아이티윌 부산교육센터,"부산 부산진구 
												
													( 051-803-0909 )","ChatGPT 활용 금융서비스 백엔드(자바, 스프링) 개발자","2025-05-08 ~
													
													2025-11-05 (3회차)"
넥스트러너스평생교육시설,"서울 서초구 
												
													( 070-4099-8219 )",[스마트훈련][스타트업트랙] IT 스타트업 실무형 사업 개발자(BD) 부트캠프,"2025-05-08 ~
													
													2025-09-08 (10회차)"
KH정보교육원 강남지원,"서울 강남구 
												
													( 02-1544-9970 )",AWS 클라우드 기반 Devops 개발자 양성 과정,"2025-05-08 ~
													
													2025-12-09 (4회차)"
강남 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1005 )",『개발자 코딩 테스트 대비』 비전공자도 이해할 수 있는 첫 코딩 with 파이썬,"2025-05-08 ~
													
													2025-06-25 (1회차)"
봄아카데미학원,"서울 마포구 
												
													( 02-325-1500 )",실무 프로젝트 기반 UI UX 모바일 웹 디자인 개발 부트캠프 (Figma 활용),"2025-05-08 ~
													
													2025-10-22 (12회차)"
이젠아카데미 DX교육센터,"서울 종로구 
												
													( 02-733-8781 )",AI 서비스 개발을 위한 클라우드 활용 실무 과정,"2025-05-08 ~
													
													2025-11-17 (1회차)"
이젠아카데미DX교육센터,"서울 서초구 
												
													( 02-532-6500 )",UXUI디자인 웹 프론트엔드개발 부트캠프(생성형AI 활용/피그마),"2025-05-08 ~
													
													2025-10-31 (7회차)"
주식회사 이젠컴퓨터아카데미,"서울 광진구 
												
													( 02-951-0008 )",AI기반 예측 분석 시스템개발,"2025-05-08 ~
													
													2026-04-21 (2회차)"
하이미디어아카데미,"서울 서초구 
												
													( 02-3478-0008 )",UI디자인(일러스트+포토샵+GTQ+GTQi),"2025-05-08 ~
													
													2025-05-28 (1회차)"
하이미디어아카데미,"서울 서초구 
												
													( 02-3478-0008 )",부트스트랩활용 UI/UX 웹퍼블리셔 취업포트폴리오 완성반,"2025-05-08 ~
													
													2025-06-05 (1회차)"
휴먼IT교육센터_내일배움카드교육,"경기 수원시 팔달구 
												
													( 031-239-5855 )",심화_인공지능(AI) 서비스 기반 웹 개발자 심화 프로젝트,"2025-05-08 ~
													
													2025-07-07 (6회차)"
중앙정보기술인재개발원,"서울 강남구 
												
													( 02-561-1911 )",클라우드 데브옵스 프론트엔드&백엔드 자바(JAVA) 풀스택 개발자 취업캠프,"2025-05-08 ~
													
													2025-11-03 (14회차)"
코드잇 평생교육원,"서울 강남구 
												
													( -- )",프론트엔드 엔지니어 부트캠프,"2025-05-08 ~
													
													2025-11-05 (17회차)"
하이미디어아카데미,"서울 강남구 
												
													( 02-3478-0008 )",심화_생성형 AI활용 인재양성과정 (조별멘토),"2025-05-09 ~
													
													2025-07-07 (7회차)"
하이미디어컴퓨터학원,"서울 노원구 
												
													( 02-6337-0008 )",취업을 위한 웹프론트엔드 포트폴리오 제작 과정,"2025-05-09 ~
													
													2025-08-04 (1회차)"
주식회사구름,"경기 성남시 분당구 
												
													( 031-600-8586 )",프로덕트 디자이너를 위한 프론트엔드 개발 융합 실무 과정,"2025-05-09 ~
													
													2025-11-26 (4회차)"
주식회사구름,"경기 성남시 분당구 
												
													( 031-600-8586 )",프로덕트 매니지먼트 마스터 양성 과정,"2025-05-09 ~
													
													2025-11-27 (4회차)"
그린컴퓨터아카데미,"경기 의정부시 
												
													( 031-837-4111 )",Node.js&React 기반 풀스택(프론트앤드&백앤드) 개발자 양성과정,"2025-05-12 ~
													
													2025-11-11 (3회차)"
이젠컴퓨터아트학원,"경기 의정부시 
												
													( 031-846-5888 )",인터렉티브 생성형 AI 챗봇 & 풀스택 개발자,"2025-05-12 ~
													
													2025-11-04 (2회차)"
미래융합교육원,"대전 서구 
												
													( 042-471-9222 )",융합_건양대학교병원 바이오메디컬 인공지능,"2025-05-12 ~
													
													2025-11-18 (3회차)"
연희직업전문학교(주),"인천 서구 
												
													( 032-562-4886 )",AWS 클라우드 환경의 AI 적용 백엔드 API 서버 개발자 양성 과정,"2025-05-12 ~
													
													2025-10-24 (2회차)"
하이미디어컴퓨터학원,"서울 구로구 
												
													( 02-3667-0008 )","AI를 활용한 자바(JAVA)개발자 (React, SpringBoot, LLM)","2025-05-12 ~
													
													2025-11-19 (2회차)"
대한상공회의소,"서울 중구 
												
													( 02-6050-3938 )",[Etevers] 언리얼엔진 DX Wave (3D Artist),"2025-05-12 ~
													
													2025-11-06 (4회차)"
대한상공회의소,"서울 중구 
												
													( 02-6050-3938 )",[크래프톤] 정글,"2025-05-12 ~
													
													2025-10-02 (6회차)"
한국직업능력교육원 안산,"경기 안산시 단원구 
												
													( 031-402-7113 )",영상AI(컴퓨터비전)을 활용한 사물인터넷(IOT) 개발자 양성,"2025-05-12 ~
													
													2025-11-10 (6회차)"
아이티윌 부산교육센터,"부산 부산진구 
												
													( 051-803-0909 )",심화_Spring Boot & AWS 클라우드 기반 백엔드 실무 프로젝트 부트캠프,"2025-05-12 ~
													
													2025-07-14 (3회차)"
더조은컴퓨터학원,"서울 구로구 
												
													( 02-838-1689 )",심화_생성형 AI 활용 백엔드 아키텍쳐 실전 프로젝트,"2025-05-12 ~
													
													2025-07-10 (3회차)"
레브아트컴퓨터학원,"경기 고양시 일산동구 
												
													( 031-901-6777 )",[웹코딩]UI/UX반응형 웹디자인 & 웹퍼블리셔,"2025-05-12 ~
													
													2025-08-04 (1회차)"
휴먼IT교육센터_국비지원무료교육,"서울 영등포구 
												
													( 02-3667-3688 )",데이터 분석 기반 인공지능 시스템 개발자 양성 과정,"2025-05-12 ~
													
													2025-10-27 (6회차)"
이젠컴퓨터학원,"경기 고양시 일산동구 
												
													( 031-994-8111 )","프로젝트기반 생성형 챗봇/백엔드 개발자(with 파이선,자바)","2025-05-12 ~
													
													2025-10-16 (4회차)"
경북산업직업전문학교,"대구 동구 
												
													( 053-751-7755 )",AI기반 빅데이터 플랫폼 풀스택 개발자,"2025-05-12 ~
													
													2025-12-10 (4회차)"
애드인에듀 아카데미 구로가산센터,"서울 금천구 
												
													( 02-552-8565 )",심화_생성형 Ai를 활용한 인공지능개발자 부트캠프,"2025-05-12 ~
													
													2025-07-24 (5회차)"
아이티윌,"서울 강남구 
												
													( 02-6255-8002 )",머신러닝을 활용한 데이터 분석 부트캠프,"2025-05-12 ~
													
													2025-10-28 (3회차)"
(주)휴먼교육센터,"충남 천안시 동남구 
												
													( 041-561-1122 )",JAVA(자바)활용 스마트팩토리 MES 웹 솔루션 개발자,"2025-05-12 ~
													
													2025-11-03 (4회차)"
사단법인중소기업기술혁신협회충북지회,"충북 청주시 청원구 
												
													( 043-235-2884 )",AI 머신비전 융합 인재 양성 과정,"2025-05-12 ~
													
													2025-09-12 (4회차)"
멀티캠퍼스,"서울 강남구 
												
													( 02-1544-9001 )",[웅진씽크빅 유데미 부트캠프] 풀스택 개발과정(JAVA),"2025-05-12 ~
													
													2025-10-22 (5회차)"
구트아카데미학원,"서울 구로구 
												
													( 02-837-9922 )",자바 웹 서비스와 CI/CD 자동화를 위한 컨테이너 기술 종합 과정,"2025-05-12 ~
													
													2025-11-19 (4회차)"
하이미디어아카데미,"서울 서대문구 
												
													( 02-714-0008 )",(실무 프로젝트기반) 자바 풀스택 개발자(React.js와 Springboot활용),"2025-05-13 ~
													
													2025-11-25 (7회차)"
대한상공회의소광주인력개발원,"광주 광산구 
												
													( 062-940-3512 )",인공지능 기반 서비스플랫폼 개발자,"2025-05-13 ~
													
													2025-11-20 (7회차)"
그린컴퓨터아카데미 부산,"부산 부산진구 
												
													( 051-912-1000 )","IT 단기속성 핵심완성,  파이썬 웹 개발 양성과정","2025-05-13 ~
													
													2025-07-31 (1회차)"
주식회사구름,"경기 성남시 분당구 
												
													( 031-600-8586 )",생성 AI 응용 서비스 개발자 양성 과정,"2025-05-13 ~
													
													2025-12-01 (4회차)"
베스핀글로벌주식회사,"서울 서초구 
												
													( 02-6951-5092 )",[베스핀글로벌] 멀티클라우드 엔지니어 취업 실무 과정,"2025-05-13 ~
													
													2025-11-13 (3회차)"
주식회사구름,"경기 성남시 분당구 
												
													( 031-600-8586 )",클라우드 네이티브 엔지니어링 개발자 과정,"2025-05-13 ~
													
													2025-11-28 (4회차)"
하이미디어컴퓨터학원,"서울 강동구 
												
													( 02-479-0009 )",웹표준/웹퍼블리셔(HTML5+CSS3+javascript+jquery)양성과정,"2025-05-13 ~
													
													2025-07-08 (1회차)"
주식회사멋쟁이사자처럼,"서울 종로구 
												
													( 02-6203-7222 )",실전 Unity 게임 개발: 모바일 콘텐츠 제작 기술 과정,"2025-05-13 ~
													
													2025-11-12 (5회차)"
대한상공회의소,"서울 중구 
												
													( 02-6050-3938 )",[IBM x RedHat] AI Transformation - AX Academy,"2025-05-13 ~
													
													2025-11-07 (3회차)"
(주)모두의연구소,"서울 강남구 
												
													( 070-7743-5882 )",재직자_[아이펠]서비스 개발자를 위한 LLM 역량 강화 과정,"2025-05-13 ~
													
													2025-08-09 (3회차)"
(학교법인)인하대학교,"인천 미추홀구 
												
													( 032-851-1044 )",인공지능 실감형콘텐츠 게임프로그램 개발,"2025-05-14 ~
													
													2026-03-13 (2회차)"
메가스터디아이티(IT)아카데미학원,"서울 강남구 
												
													( 02-588-9991 )","WEB3(웹3)전자지갑 풀스텍(JAVA,React) 개발자","2025-05-14 ~
													
													2025-11-19 (4회차)"
이젠아카데미컴퓨터학원,"경기 안양시 만안구 
												
													( 031-468-1114 )","생성형AI 활용한 UI/UX 제작 편집(일러스트, 포토샵)","2025-05-14 ~
													
													2025-06-27 (1회차)"
하이미디어컴퓨터학원,"서울 강동구 
												
													( 02-479-0009 )","(클라우드 기반 MSA)풀스택 자바 개발자(React,SpringBoot,AWS)","2025-05-14 ~
													
													2025-11-21 (3회차)"
그린컴퓨터아카데미 신촌,"서울 마포구 
												
													( 02-715-2111 )","UIUX프론트,백엔드(Java,Spring),Data분석(Python)SW개발자 (참여기업프로젝트 참여) 양성과정","2025-05-14 ~
													
													2025-12-23 (1회차)"
주식회사구름,"경기 성남시 분당구 
												
													( 031-600-8586 )",[구름 x 인프런] 자바 스프링 & 리액트 풀스택 개발자 성장 과정,"2025-05-15 ~
													
													2025-12-02 (14회차)"
이젠아카데미컴퓨터학원,"인천 남동구 
												
													( 032-719-4074 )",AWS클라우드 활용 지능형 웹서비스 풀스택개발,"2025-05-15 ~
													
													2025-10-22 (12회차)"
하이미디어아카데미,"서울 서초구 
												
													( 02-3478-0008 )","클라우드 기반의 자바 풀스택 (Springboot, React, flutter) 개발자","2025-05-15 ~
													
													2025-11-10 (11회차)"
아이티윌,"서울 강남구 
												
													( 02-6255-8002 )",MSA기반 자바 백엔드 개발자 양성과정,"2025-05-15 ~
													
													2025-11-14 (6회차)"
한국ICT인재개발원,"서울 마포구 
												
													( 02-739-7235 )",클라우드기반 AI 대화형 서비스 웹개발자 양성,"2025-05-15 ~
													
													2025-11-21 (14회차)"
그린컴퓨터아트학원,"서울 구로구 
												
													( 02-2111-2000 )","단기속성 핵심완성, 프론트엔드 웹 개발","2025-05-16 ~
													
													2025-08-05 (1회차)"
대한상공회의소,"서울 중구 
												
													( 02-6050-3938 )",[계룡건설] 빅데이터 기반 Green Tech SW개발자,"2025-05-16 ~
													
													2025-11-04 (10회차)"
세라컴퓨터코딩학원,"전북 전주시 덕진구 
												
													( 063-241-1126 )",초보자를 위한 Python,"2025-05-19 ~
													
													2025-06-20 (3회차)"
플레이데이터평생교육원,"서울 서초구 
												
													( 02-754-7302 )",한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,"2025-05-19 ~
													
													2025-11-12 (16회차)"
주식회사멋쟁이사자처럼,"서울 종로구 
												
													( 02-6203-7222 )",재직자_실무 프로젝트 기반 MS Azure클라우드 엔지니어링 과정,"2025-05-19 ~
													
													2025-07-24 (2회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무형 iOS 앱 개발자 양성과정,"2025-05-19 ~
													
													2025-09-23 (7회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",Unreal 기반 3D 게임 개발자 양성과정,"2025-05-19 ~
													
													2026-01-12 (3회차)"
DW아카데미학원,"대전 중구 
												
													( 042-222-2402 )",[기업프로젝트] 메타버스 에듀테크 개발자 트랙,"2025-05-19 ~
													
													2025-12-11 (9회차)"
(주)스프레틱스,"서울 마포구 
												
													( 02-6949-2751 )",UI/UX 웹 디자이너 & 웹 퍼블리셔 양성 과정,"2025-05-19 ~
													
													2025-09-15 (1회차)"
케이지에듀원 아이티뱅크종로학원,"서울 종로구 
												
													( 02-3672-3366 )",핀테크 서비스를 위한 풀스택 개발자 양성 과정,"2025-05-19 ~
													
													2025-11-20 (9회차)"
패스트캠퍼스강남학원,"서울 강남구 
												
													( 02-518-4831 )",UXUI 디자인 부트캠프,"2025-05-19 ~
													
													2025-11-07 (7회차)"
멀티캠퍼스,"서울 강남구 
												
													( 02-1544-9001 )",[에스넷시스템] 클라우드 활용 네트워크 엔지니어 양성,"2025-05-19 ~
													
													2025-09-24 (5회차)"
구디아카데미,"서울 금천구 
												
													( 02-818-7950 )",[프로젝트] 클라우드(AWS)활용 자바/스프링 개발 부트캠프,"2025-05-19 ~
													
													2025-11-28 (5회차)"
(주)이스트소프트,서울 서초구,"[이스트캠프] 오르미 프론트엔드 개발(React, HTML/CSS/JavaScript)","2025-05-20 ~
													
													2025-09-29 (6회차)"
한국직업전문학교 1캠퍼스,"서울 구로구 
												
													( 02-6959-3647 )","AI 비전 웹 & 앱 개발 부트캠프(Java, Spring)","2025-05-20 ~
													
													2025-11-18 (2회차)"
(주)모두의연구소,"서울 강남구 
												
													( 070-7743-5882 )",[아이펠]생성형AI를 활용한 프로덕트 데이터 분석 과정,"2025-05-20 ~
													
													2025-11-21 (2회차)"
역삼 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1006 )",[스타트업]현장실무 클라우드를 활용한 자바 스프링프레임워크 개발자과정,"2025-05-20 ~
													
													2025-11-21 (8회차)"
아이티윌 부산교육센터,"부산 부산진구 
												
													( 051-803-0909 )",프로젝트 기반 자바 스프링 풀스택 개발자,"2025-05-20 ~
													
													2025-11-14 (7회차)"
국제인재개발원,"광주 북구 
												
													( 062-266-6617 )",차세대 교통신호 제어를 위한 AIoT 융합 개발자 양성,"2025-05-20 ~
													
													2025-12-12 (1회차)"
플레이데이터평생교육원,"서울 금천구 
												
													( 02-754-7302 )",SK네트웍스 Family AI 캠프,"2025-05-20 ~
													
													2025-11-18 (15회차)"
강남 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1005 )",프레임워크 & AI 활용 자바 기반 풀스택 멀티플랫폼 웹서비스 개발과정,"2025-05-20 ~
													
													2025-11-20 (2회차)"
(주)그렙,"서울 서초구 
												
													( -- )",프로그래머스 데브코스: 클라우드 기반 백엔드 엔지니어링,"2025-05-21 ~
													
													2025-10-20 (8회차)"
(주)그렙,"서울 서초구 
												
													( -- )",프로그래머스 데브코스: 클라우드 기반 프론트엔드 엔지니어링,"2025-05-21 ~
													
													2025-10-20 (6회차)"
주식회사경일게임아이티아카데미,"서울 강동구 
												
													( 070-5118-0755 )",[기업프로젝트] 메타버스 게임 개발자 양성,"2025-05-21 ~
													
													2025-12-12 (2회차)"
넥스트러너스평생교육시설,"서울 서초구 
												
													( 070-4099-8219 )",[스마트훈련] IT 스타트업 실무형 백엔드 개발 부트캠프,"2025-05-22 ~
													
													2025-11-14 (12회차)"
현대경제연구원 인재개발원,"서울 동작구 
												
													( 02-2072-6387 )",융합_삼정 Future Academy,"2025-05-22 ~
													
													2025-11-14 (6회차)"
코드잇 평생교육원,"서울 강남구 
												
													( -- )",AWS 활용 Spring 백엔드 개발자 실무 부트캠프,"2025-05-22 ~
													
													2025-12-17 (4회차)"
에이콘아카데미(강남),"서울 강남구 
												
													( 02-539-8879 )",콘텐츠 융합을 위한 자바(JAVA)기반  Full Stack 개발자 양성과정,"2025-05-22 ~
													
													2025-11-12 (12회차)"
넥스트러너스평생교육시설,"서울 서초구 
												
													( 070-4099-8219 )",[스마트훈련] IT 스타트업 실무형 멀티플랫폼 프론트엔드 개발 부트캠프,"2025-05-22 ~
													
													2025-11-14 (13회차)"
광주IT(아이티)학원,"광주 북구 
												
													( 062-266-6063 )",AIoT 통합 스마트솔루션 개발자 양성과정,"2025-05-22 ~
													
													2025-11-21 (1회차)"
한국전파진흥협회,"서울 양천구 
												
													( 02-317-6183 )",LIG넥스원 The SSEN 임베디드SW 스쿨,"2025-05-23 ~
													
													2025-11-27 (2회차)"
그린컴퓨터아카데미 부산,"부산 부산진구 
												
													( 051-912-1000 )","지역인재양성을 위한 MSA기반 크로스 플랫폼(자바,Springboot,Flutter) 개발자 과정","2025-05-23 ~
													
													2025-12-12 (2회차)"
패스트캠퍼스강남학원,"서울 강남구 
												
													( 02-518-4831 )",재직자_INNER CIRCLE : 인공지능(AI) 마스터 Course,"2025-05-24 ~
													
													2025-08-07 (3회차)"
